;gauge_ID;issue_date;issue_time;fc_date;fc_value
1615;hybas_1122087880;2024-07-30;2024-07-30 13:36:30.963790+00:00;2024-08-05;32.43413162231445
1616;hybas_1122087880;2024-07-31;2024-07-31 13:57:40.304032+00:00;2024-07-30;35.57331848144531
1617;hybas_1122087880;2024-07-31;2024-07-31 13:57:40.304032+00:00;2024-07-31;34.73654556274414
1618;hybas_1122087880;2024-07-31;2024-07-31 13:57:40.304032+00:00;2024-08-01;34.1034049987793
1619;hybas_1122087880;2024-07-31;2024-07-31 13:57:40.304032+00:00;2024-08-02;33.730411529541016
1620;hybas_1122087880;2024-07-31;2024-07-31 13:57:40.304032+00:00;2024-08-03;33.4113883972168
1621;hybas_1122087880;2024-07-31;2024-07-31 13:57:40.304032+00:00;2024-08-04;32.88102722167969
1622;hybas_1122087880;2024-07-31;2024-07-31 13:57:40.304032+00:00;2024-08-05;32.51755142211914
1623;hybas_1122087880;2024-07-31;2024-07-31 13:57:40.304032+00:00;2024-08-06;31.950788497924805
1624;hybas_1122087880;2024-08-01;2024-08-01 13:18:00.041667+00:00;2024-07-31;34.653079986572266
1625;hybas_1122087880;2024-08-01;2024-08-01 13:18:00.041667+00:00;2024-08-01;34.28577423095703
1626;hybas_1122087880;2024-08-01;2024-08-01 13:18:00.041667+00:00;2024-08-02;34.08817672729492
1627;hybas_1122087880;2024-08-01;2024-08-01 13:18:00.041667+00:00;2024-08-03;33.28532791137695
1628;hybas_1122087880;2024-08-01;2024-08-01 13:18:00.041667+00:00;2024-08-04;33.144222259521484
1629;hybas_1122087880;2024-08-01;2024-08-01 13:18:00.041667+00:00;2024-08-05;32.83423614501953
1630;hybas_1122087880;2024-08-01;2024-08-01 13:18:00.041667+00:00;2024-08-06;32.20357131958008
1631;hybas_1122087880;2024-08-01;2024-08-01 13:18:00.041667+00:00;2024-08-07;32.055355072021484
1632;hybas_1122087880;2024-08-02;2024-08-02 13:38:57.891429+00:00;2024-08-01;34.55807876586914
1633;hybas_1122087880;2024-08-02;2024-08-02 13:38:57.891429+00:00;2024-08-02;34.545989990234375
1634;hybas_1122087880;2024-08-02;2024-08-02 13:38:57.891429+00:00;2024-08-03;33.5462532043457
1635;hybas_1122087880;2024-08-02;2024-08-02 13:38:57.891429+00:00;2024-08-04;33.29328536987305
1636;hybas_1122087880;2024-08-02;2024-08-02 13:38:57.891429+00:00;2024-08-05;33.35991668701172
1637;hybas_1122087880;2024-08-02;2024-08-02 13:38:57.891429+00:00;2024-08-06;32.6151008605957
1638;hybas_1122087880;2024-08-02;2024-08-02 13:38:57.891429+00:00;2024-08-07;32.53413391113281
1639;hybas_1122087880;2024-08-02;2024-08-02 13:38:57.891429+00:00;2024-08-08;32.05916213989258
1640;hybas_1122087880;2024-08-03;2024-08-03 13:59:16.371879+00:00;2024-08-02;34.192237854003906
1641;hybas_1122087880;2024-08-03;2024-08-03 13:59:16.371879+00:00;2024-08-03;33.55152893066406
1642;hybas_1122087880;2024-08-03;2024-08-03 13:59:16.371879+00:00;2024-08-04;33.27158737182617
1643;hybas_1122087880;2024-08-03;2024-08-03 13:59:16.371879+00:00;2024-08-05;32.91554641723633
1644;hybas_1122087880;2024-08-03;2024-08-03 13:59:16.371879+00:00;2024-08-06;32.54528045654297
1645;hybas_1122087880;2024-08-03;2024-08-03 13:59:16.371879+00:00;2024-08-07;32.79964828491211
1646;hybas_1122087880;2024-08-03;2024-08-03 13:59:16.371879+00:00;2024-08-08;32.412109375
1647;hybas_1122087880;2024-08-03;2024-08-03 13:59:16.371879+00:00;2024-08-09;32.101688385009766
1648;hybas_1122087880;2024-08-04;2024-08-04 13:20:48.269401+00:00;2024-08-03;34.17723846435547
1649;hybas_1122087880;2024-08-04;2024-08-04 13:20:48.269401+00:00;2024-08-04;33.16202163696289
1650;hybas_1122087880;2024-08-04;2024-08-04 13:20:48.269401+00:00;2024-08-05;32.80398178100586
1651;hybas_1122087880;2024-08-04;2024-08-04 13:20:48.269401+00:00;2024-08-06;31.99590492248535
1652;hybas_1122087880;2024-08-04;2024-08-04 13:20:48.269401+00:00;2024-08-07;32.460025787353516
1653;hybas_1122087880;2024-08-04;2024-08-04 13:20:48.269401+00:00;2024-08-08;32.1629753112793
1654;hybas_1122087880;2024-08-04;2024-08-04 13:20:48.269401+00:00;2024-08-09;31.95232582092285
