;gaugeId;issue_date;issue_time;fc_date;fc_value
110;hybas_1121890140;2024-10-14;2024-10-14 14:02:03.552581+00:00;2024-10-19;2947.31494140625
111;hybas_1121890140;2024-10-14;2024-10-14 14:02:03.552581+00:00;2024-10-20;2903.50048828125
112;hybas_1121890140;2024-10-15;2024-10-15 13:48:21.808978+00:00;2024-10-14;2988.3076171875
113;hybas_1121890140;2024-10-15;2024-10-15 13:48:21.808978+00:00;2024-10-15;2974.766357421875
114;hybas_1121890140;2024-10-15;2024-10-15 13:48:21.808978+00:00;2024-10-16;3032.990478515625
115;hybas_1121890140;2024-10-15;2024-10-15 13:48:21.808978+00:00;2024-10-17;3025.87646484375
116;hybas_1121890140;2024-10-15;2024-10-15 13:48:21.808978+00:00;2024-10-18;2995.6826171875
117;hybas_1121890140;2024-10-15;2024-10-15 13:48:21.808978+00:00;2024-10-19;2965.745849609375
118;hybas_1121890140;2024-10-15;2024-10-15 13:48:21.808978+00:00;2024-10-20;2917.600341796875
119;hybas_1121890140;2024-10-15;2024-10-15 13:48:21.808978+00:00;2024-10-21;2870.35205078125
120;hybas_1121890140;2024-10-16;2024-10-16 13:37:46.448087+00:00;2024-10-15;2975.930908203125
121;hybas_1121890140;2024-10-16;2024-10-16 13:37:46.448087+00:00;2024-10-16;3005.833251953125
122;hybas_1121890140;2024-10-16;2024-10-16 13:37:46.448087+00:00;2024-10-17;3011.114501953125
123;hybas_1121890140;2024-10-16;2024-10-16 13:37:46.448087+00:00;2024-10-18;2979.477294921875
124;hybas_1121890140;2024-10-16;2024-10-16 13:37:46.448087+00:00;2024-10-19;2965.559814453125
125;hybas_1121890140;2024-10-16;2024-10-16 13:37:46.448087+00:00;2024-10-20;2932.59912109375
126;hybas_1121890140;2024-10-16;2024-10-16 13:37:46.448087+00:00;2024-10-21;2879.364990234375
127;hybas_1121890140;2024-10-16;2024-10-16 13:37:46.448087+00:00;2024-10-22;2827.9990234375
128;hybas_1121890140;2024-10-17;2024-10-17 14:01:27.735778+00:00;2024-10-16;3032.429443359375
129;hybas_1121890140;2024-10-17;2024-10-17 14:01:27.735778+00:00;2024-10-17;3033.8876953125
130;hybas_1121890140;2024-10-17;2024-10-17 14:01:27.735778+00:00;2024-10-18;2998.281005859375
131;hybas_1121890140;2024-10-17;2024-10-17 14:01:27.735778+00:00;2024-10-19;3013.70361328125
132;hybas_1121890140;2024-10-17;2024-10-17 14:01:27.735778+00:00;2024-10-20;2996.150390625
133;hybas_1121890140;2024-10-17;2024-10-17 14:01:27.735778+00:00;2024-10-21;2953.283447265625
134;hybas_1121890140;2024-10-17;2024-10-17 14:01:27.735778+00:00;2024-10-22;2895.851806640625
135;hybas_1121890140;2024-10-17;2024-10-17 14:01:27.735778+00:00;2024-10-23;2850.392578125
136;hybas_1121890140;2024-10-18;2024-10-18 13:47:24.289158+00:00;2024-10-17;2937.793701171875
137;hybas_1121890140;2024-10-18;2024-10-18 13:47:24.289158+00:00;2024-10-18;2924.773681640625
138;hybas_1121890140;2024-10-18;2024-10-18 13:47:24.289158+00:00;2024-10-19;2953.219970703125
139;hybas_1121890140;2024-10-18;2024-10-18 13:47:24.289158+00:00;2024-10-20;2951.808349609375
140;hybas_1121890140;2024-10-18;2024-10-18 13:47:24.289158+00:00;2024-10-21;2919.634765625
141;hybas_1121890140;2024-10-18;2024-10-18 13:47:24.289158+00:00;2024-10-22;2874.540283203125
142;hybas_1121890140;2024-10-18;2024-10-18 13:47:24.289158+00:00;2024-10-23;2816.62646484375
143;hybas_1121890140;2024-10-18;2024-10-18 13:47:24.289158+00:00;2024-10-24;2736.677490234375
144;hybas_1121890140;2024-10-19;2024-10-19 13:36:19.398840+00:00;2024-10-18;2952.992431640625
145;hybas_1121890140;2024-10-19;2024-10-19 13:36:19.398840+00:00;2024-10-19;2970.811767578125
146;hybas_1121890140;2024-10-19;2024-10-19 13:36:19.398840+00:00;2024-10-20;2978.280517578125
147;hybas_1121890140;2024-10-19;2024-10-19 13:36:19.398840+00:00;2024-10-21;2954.116455078125
148;hybas_1121890140;2024-10-19;2024-10-19 13:36:19.398840+00:00;2024-10-22;2911.416259765625
149;hybas_1121890140;2024-10-19;2024-10-19 13:36:19.398840+00:00;2024-10-23;2846.72705078125
150;hybas_1121890140;2024-10-19;2024-10-19 13:36:19.398840+00:00;2024-10-24;2744.80078125
151;hybas_1121890140;2024-10-19;2024-10-19 13:36:19.398840+00:00;2024-10-25;2675.0166015625
152;hybas_1121890140;2024-10-20;2024-10-20 13:59:22.144389+00:00;2024-10-19;3001.607177734375
153;hybas_1121890140;2024-10-20;2024-10-20 13:59:22.144389+00:00;2024-10-20;2997.8876953125
154;hybas_1121890140;2024-10-20;2024-10-20 13:59:22.144389+00:00;2024-10-21;2977.969970703125
155;hybas_1121890140;2024-10-20;2024-10-20 13:59:22.144389+00:00;2024-10-22;2937.26416015625
156;hybas_1121890140;2024-10-20;2024-10-20 13:59:22.144389+00:00;2024-10-23;2864.97705078125
157;hybas_1121890140;2024-10-20;2024-10-20 13:59:22.144389+00:00;2024-10-24;2758.513671875
158;hybas_1121890140;2024-10-20;2024-10-20 13:59:22.144389+00:00;2024-10-25;2691.409423828125
159;hybas_1121890140;2024-10-20;2024-10-20 13:59:22.144389+00:00;2024-10-26;2675.072509765625
160;hybas_1121890140;2024-10-21;2024-10-21 13:46:05.461609+00:00;2024-10-20;3018.471435546875
161;hybas_1121890140;2024-10-21;2024-10-21 13:46:05.461609+00:00;2024-10-21;2976.962646484375
162;hybas_1121890140;2024-10-21;2024-10-21 13:46:05.461609+00:00;2024-10-22;2940.74072265625
163;hybas_1121890140;2024-10-21;2024-10-21 13:46:05.461609+00:00;2024-10-23;2864.149658203125
164;hybas_1121890140;2024-10-21;2024-10-21 13:46:05.461609+00:00;2024-10-24;2767.819091796875
165;hybas_1121890140;2024-10-21;2024-10-21 13:46:05.461609+00:00;2024-10-25;2708.685546875
166;hybas_1121890140;2024-10-21;2024-10-21 13:46:05.461609+00:00;2024-10-26;2678.12646484375
167;hybas_1121890140;2024-10-21;2024-10-21 13:46:05.461609+00:00;2024-10-27;2660.677734375
168;hybas_1121890140;2024-10-22;2024-10-22 13:36:01.915264+00:00;2024-10-21;3005.803955078125
169;hybas_1121890140;2024-10-22;2024-10-22 13:36:01.915264+00:00;2024-10-22;2949.42041015625
170;hybas_1121890140;2024-10-22;2024-10-22 13:36:01.915264+00:00;2024-10-23;2867.2724609375
171;hybas_1121890140;2024-10-22;2024-10-22 13:36:01.915264+00:00;2024-10-24;2756.2939453125
172;hybas_1121890140;2024-10-22;2024-10-22 13:36:01.915264+00:00;2024-10-25;2706.64990234375
173;hybas_1121890140;2024-10-22;2024-10-22 13:36:01.915264+00:00;2024-10-26;2686.168701171875
174;hybas_1121890140;2024-10-22;2024-10-22 13:36:01.915264+00:00;2024-10-27;2664.296875
175;hybas_1121890140;2024-10-22;2024-10-22 13:36:01.915264+00:00;2024-10-28;2635.015380859375
176;hybas_1121890140;2024-10-23;2024-10-23 13:56:16.574858+00:00;2024-10-22;2985.458251953125
177;hybas_1121890140;2024-10-23;2024-10-23 13:56:16.574858+00:00;2024-10-23;2874.20703125
178;hybas_1121890140;2024-10-23;2024-10-23 13:56:16.574858+00:00;2024-10-24;2757.38525390625
